CODIGO,TÍTULO,AUTOR,EDITORIAL,ESTADO,UBICACIÓN 
20.3.13.4.05.032,CLARA Y CLARISSA,ROXANA MÉNDEZ,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.033,CLARA Y CLARISSA,ROXANA MÉNDEZ,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.034,EL CLUB DEL FRIJOL,MARCELA CASTAÑEDA SARTI,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.035,EL CLUB DEL FRIJOL,MARCELA CASTAÑEDA SARTI,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.036,CRÓNICAS DE ALUXTENANGO,MARIO CHAVARRÍA,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.037,CRÓNICAS DE ALUXTENANGO,MARIO CHAVARRÍA,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.038,CRONICAS DE JET ASTER,JULIO CALVO DRAGO,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.039,CRONICAS DE JET ASTER,JULIO CALVO DRAGO,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.040,CUANDO HITLER ROBÓ EL CONEJO ROSA,JUDITH KERR,EDITORIAL SANTILLANA,EXCELENTE,M3A1
20.3.13.4.05.041,CUANDO HITLER ROBÓ EL CONEJO ROSA,JUDITH KERR,EDITORIAL SANTILLANA,EXCELENTE,M3A1
20.3.13.4.05.042,CUANDO PLUTÓN ERA UN PLANETA,FLOR AGUILERA ,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.043,CUANDO PLUTÓN ERA UN PLANETA,FLOR AGUILERA ,"LOQUELEO,  EDITORIAL SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.044,CUARTELES DE INVIERNO,LEONEL JURACÁN,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
20.3.13.4.05.045,CUARTELES DE INVIERNO,LEONEL JURACÁN,"LOQUELEO, SANTILLANA",EXCELENTE,M3A1
